id,CODE,KEY,EN Phrase Formula,EN,FR,
283,"""product.table.columns.isActive.inactive"": ""Inactive"",",product.table.columns.isActive.inactive, Inactive, Inactive, Inactive,
284,"""product.table.columns.action"": ""Action"",",product.table.columns.action, Action, Action, Action,
285,"""product.create.article.info.title"": ""Basic article info"",",product.create.article.info.title, Basic article info, Basic article info, Basic article info,
286,"""product.create.article.info.category.type"": ""Category Type"",",product.create.article.info.category.type, Category Type, Category Type, Category Type,
287,"""product.create.article.info.category"": ""Category"",",product.create.article.info.category, Category, Category, Category,
288,"""product.create.article.info.description"": ""Name"",",product.create.article.info.description, Name, Name, Name,
289,"""product.create.article.card.basic.info"": ""Article info"",",product.create.article.card.basic.info, Article info, Article info, Article info,
290,"""product.create.article.card.media"": ""Media"",",product.create.article.card.media, Media, Media, Media,
291,"""product.create.article.name"": ""Name"",",product.create.article.name, Name, Name, Name,
292,"""product.create.article.name.validation"": ""Please enter the article name!"",",product.create.article.name.validation, Please enter the article name!, Please enter the article name!, Please enter the article name!,
293,"""product.create.article.description"": ""Description"",",product.create.article.description, Description, Description, Description,
294,"""product.create.article.descriptionEn"": ""Description en"",",product.create.article.descriptionEn, Description en, Description en, Description en,
295,"""product.create.article.descriptionFr"": ""Description fr"",",product.create.article.descriptionFr, Description fr, Description fr, Description fr,
296,"""product.create.article.description.validation"": ""Please enter the article description!"",",product.create.article.description.validation, Please enter the article description!, Please enter the article description!, Please enter the article description!,
297,"""product.create.article.images"": ""Images"",",product.create.article.images, Images, Images, Images,
298,"""product.create.article.products.list"": ""Products"",",product.create.article.products.list, Products, Products, Products,
299,"""product.create.card.code"": ""Product #"",",product.create.card.code, Product #, Product #, Product #,
300,"""product.create.card.code.validation"": ""Please enter the product code!"",",product.create.card.code.validation, Please enter the product code!, Please enter the product code!, Please enter the product code!,
301,"""product.create.card.price"": ""Price"",",product.create.card.price, Price, Price, Price,
302,"""product.create.card.price.validation"": ""Please enter the product price!"",",product.create.card.price.validation, Please enter the product price!, Please enter the product price!, Please enter the product price!,
303,"""product.create.card.article.create.title"": ""New article"",",product.create.card.article.create.title, New article, New article, New article,
304,"""product.create.card.article.cancel.btn"": ""Cancel create article"",",product.create.card.article.cancel.btn, Cancel create article, Cancel create article, Cancel create article,
305,"""product.create.card.article.save.btn"": ""Save article"",",product.create.card.article.save.btn, Save article, Save article, Save article,
306,"""product.create.card.article.notification.create"": ""Article was created"",",product.create.card.article.notification.create, Article was created, Article was created, Article was created,
307,"""category.title"": ""Categories"",",category.title, Categories, Categories, Categories,
308,"""category.create.type"": ""Type"",",category.create.type, Type, Type, Type,
309,"""category.create.name"": ""Name"",",category.create.name, Name, Name, Name,
310,"""category.create.name.validation"": ""Please enter the category name!"",",category.create.name.validation, Please enter the category name!, Please enter the category name!, Please enter the category name!,
311,"""category.create.notification.create"": ""The article category was created!"",",category.create.notification.create, The article category was created!, The article category was created!, The article category was created!,
312,"""consumers.title"": ""Consumers"",",consumers.title, Consumers, Consumers, Consumers,
313,"""consumers.bread.root"": ""Consumers"",",consumers.bread.root, Consumers, Consumers, Consumers,
314,"""consumers.table.columns.email"": ""Email"",",consumers.table.columns.email, Email, Email, Email,
315,"""consumers.table.columns.phone"": ""Phone"",",consumers.table.columns.phone, Phone, Phone, Phone,
316,"""consumers.table.columns.name"": ""Name"",",consumers.table.columns.name, Name, Name, Name,
317,"""consumers.table.columns.project"": ""Project"",",consumers.table.columns.project, Project, Project, Project,
318,"""consumers.table.columns.property"": ""Property"",",consumers.table.columns.property, Property, Property, Property,
319,"""consumers.table.columns.isConfirmed"": ""Confirm"",",consumers.table.columns.isConfirmed, Confirm, Confirm, Confirm,
320,"""consumers.table.columns.isConfirmed.confirmed"": ""Confirmed"",",consumers.table.columns.isConfirmed.confirmed, Confirmed, Confirmed, Confirmed,
321,"""consumers.table.columns.isConfirmed.unconfirmed"": ""Unconfirmed"",",consumers.table.columns.isConfirmed.unconfirmed, Unconfirmed, Unconfirmed, Unconfirmed,
322,"""consumers.table.columns.confirmedDate"": ""Confirmation date"",",consumers.table.columns.confirmedDate, Confirmation date, Confirmation date, Confirmation date,
323,"""consumers.table.columns.failedLoginAttempts"": ""Failed login attempts"",",consumers.table.columns.failedLoginAttempts, Failed login attempts, Failed login attempts, Failed login attempts,
324,"""consumers.table.columns.lockedDate"": ""Locked date"",",consumers.table.columns.lockedDate, Locked date, Locked date, Locked date,
325,"""consumers.table.columns.lastLoginDate"": ""Last login date"",",consumers.table.columns.lastLoginDate, Last login date, Last login date, Last login date,
326,"""consumers.table.columns.action"": ""Action"",",consumers.table.columns.action, Action, Action, Action,
327,"""consumers.table.columns.action.resend"": ""Resend"",",consumers.table.columns.action.resend, Resend, Resend, Resend,
328,"""consumers.table.columns.action.resend.title"": ""Resend confirmation email"",",consumers.table.columns.action.resend.title, Resend confirmation email, Resend confirmation email, Resend confirmation email,
329,"""consumers.table.columns.action.resend.success"": ""The confirmation email has been resent"",",consumers.table.columns.action.resend.success, The confirmation email has been resent, The confirmation email has been resent, The confirmation email has been resent,
330,"""consumers.table.columns.manage"": ""manage"",",consumers.table.columns.manage, manage, manage, manage,
331,"""consumers.create.email"": ""Email"",",consumers.create.email, Email, Email, Email,
332,"""consumers.create.phone"": ""Phone"",",consumers.create.phone, Phone, Phone, Phone,
333,"""consumers.create.name"": ""Name"",",consumers.create.name, Name, Name, Name,
334,"""consumers.create.surname"": ""Surname"",",consumers.create.surname, Surname, Surname, Surname,
335,"""consumers.create.isConfirmed.label"": ""Is confirmed"",",consumers.create.isConfirmed.label, Is confirmed, Is confirmed, Is confirmed,
336,"""consumers.create.isConfirmed.value"": ""Confirmed"",",consumers.create.isConfirmed.value, Confirmed, Confirmed, Confirmed,
337,"""consumers.create.isLocked.label"": ""Is locked"",",consumers.create.isLocked.label, Is locked, Is locked, Is locked,
338,"""consumers.create.isLocked.value"": ""Locked"",",consumers.create.isLocked.value, Locked, Locked, Locked,
339,"""consumers.create.title.create"": ""Create consumer"",",consumers.create.title.create, Create consumer, Create consumer, Create consumer,
340,"""consumers.create.title.update"": ""Update consumer"",",consumers.create.title.update, Update consumer, Update consumer, Update consumer,
341,"""consumers.create.add.project"": ""+ Add Project"",",consumers.create.add.project, + Add Project, + Add Project, + Add Project,
342,"""consumers.create.error.no.property"": ""Consumer must have a property"",",consumers.create.error.no.property, Consumer must have a property, Consumer must have a property, Consumer must have a property,
343,"""consumers.locked.error"": ""fermé à clé"",",consumers.locked.error, fermé à clé, fermé à clé, fermé à clé,
344,"""consumers.password.error"": ""passe expiré"",",consumers.password.error, passe expiré, passe expiré, passe expiré,
345,"""consumers.online"": ""Online"",",consumers.online, Online, Online, Online,
346,"""consumers.offline"": ""Offline"",",consumers.offline, Offline, Offline, Offline,
347,"""consumers.desactiveted"": ""Désactiver"",",consumers.desactiveted, Désactiver, Désactiver, Désactiver,
348,"""consumers.choose.project"": ""Choose project"",",consumers.choose.project, Choose project, Choose project, Choose project,
349,"""consumers.choose.property"": ""Choose property"",",consumers.choose.property, Choose property, Choose property, Choose property,
350,"""consumers.manage.tabs.calendar"": ""Calendar and progress"",",consumers.manage.tabs.calendar, Calendar and progress, Calendar and progress, Calendar and progress,
351,"""consumers.manage.tabs.budget"": ""Budget control"",",consumers.manage.tabs.budget, Budget control, Budget control, Budget control,
352,"""consumers.manage.tabs.gallery"": ""Gallery"",",consumers.manage.tabs.gallery, Gallery, Gallery, Gallery,
353,"""consumers.manage.tabs.documents"": ""Documents"",",consumers.manage.tabs.documents, Documents, Documents, Documents,
